Slope,Altitude,eventID,occurrenceID,basisOfRecord,Kingdom,Class,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,BMWP
South,High,S1B,S1B_6,Humanobservation,Animalia,Aves,Passeriformes,Aegithalos caudatus,Long tailed tit,Species,1,1,
North,Medium,N2B,N2B_5,Humanobservation,Animalia,Aves,Passeriformes,Alauda arvensis,Skylark,Species,2,2,
North,High,NB_I,NB_I_1,Humanobservation,Animalia,Aves,Passeriformes,Alauda arvensis,Skylark,Species,1,1,
North,High,N1B,N1B_1,Humanobservation,Animalia,Aves,Passeriformes,Anthus pratensis,Meadow pipit,Species,6,6,
South,Low,S3B,S3B_2,Humanobservation,Animalia,Aves,Passeriformes,Anthus pratensis,Meadow pipit,Species,6,6,
South,High,S1B,S1B_3,Humanobservation,Animalia,Aves,Passeriformes,Anthus pratensis,Meadow pipit,Species,2,2,
South,High,S1B_OoB,S1B_OoB_2,Humanobservation,Animalia,Aves,Passeriformes,Anthus pratensis,Meadow pipit,Species,1,1,
North,Medium,N2B,N2B_1,Humanobservation,Animalia,Aves,Accipitriformes,Aquila chrysaetos,Golden eagle,Species,1,1,
South,Medium,S2B_OoB,S2B_OoB_1,Humanobservation,Animalia,Aves,Accipitriformes,Aquila chrysaetos,Golden eagle,Species,1,1,
North,High,N1B_OoB,N1B_OoB_1,Humanobservation,Animalia,Aves,Accipitriformes,Aquila chrysaetos,Golden eagle,Species,2,2,
North,High,N1B_OoB,N1B_OoB_2,Humanobservation,Animalia,Aves,Accipitriformes,Aquila chrysaetos,Golden eagle,Species,1,1,
South,High,S1B,S1B_1,Humanobservation,Animalia,Aves,Accipitriformes,Aquila chrysaetos,Golden eagle,Species,1,1,
South,High,S1B,S1B_4,Humanobservation,Animalia,Aves,Passeriformes,Certhia familiaris,Treecreeper,Species,1,1,
North,Low,N3B,N3B_,Humanobservation,Animalia,Aves,Passeriformes,Coloeus monedula,Western jackdaw,Species,15,15,
North,Low,N3B_OoB,N3B_OoB_1,Humanobservation,Animalia,Aves,Passeriformes,Coloeus monedula,Western jackdaw,Species,1,1,
North,Low,N3B,N3B_1,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,3,3,
North,Low,N3B,N3B_2,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,4,4,
North,Low,N3B,N3B_3,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,2,2,
North,Low,N3B,N3B_4,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,1,1,
North,Low,N3B,N3B_5,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,1,1,
North,Low,N3B,N3B_6,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,1,1,
North,Low,N3B,N3B_7,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,1,1,
North,Low,N3B,N3B_8,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,1,1,
North,Low,N3B,N3B_,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,2,2,
South,Low,S3B,S3B_1,Humanobservation,Animalia,Aves,Columbiformes,Columba palumbus,Wood pigeon,Species,5,5,
