Quadrat,Easting,Northing
A,194048,650515
B,194085,650473
C,194122,650423
D,194169,650378
E,194202,650328
F,194245,650285
G,194291,650238
H,194337,650180
I,194395,650161
J,194445,650131
A,194250,650694
B,194269,650670
C,194289,650645
D,194309,650624
E,194332,650602
F,194355,650579
G,194375,650552
H,194392,650527
I,194412,650502
J,194429,650477
A,194223,650515
B,194240,650486
C,194266,650464
D,194283,650441
E,194303,650418
F,194329,650400
G,194349,650375
H,194369,650357
I,194385,650329
J,194396,650295
A,193638,650115
B,193678,650068
C,193706,650023
D,193727,649966
E,193764,649914
F,193813,649874
G,193889,649880
H,193909,649796
I,193949,649758
J,193959,649730
A,193473,649831
B,193478,649807
C,193468,649774
D,193472,649747
E,193477,649718
F,193491,649687
G,193495,649659
H,193509,649631
A,193519,649950
B,193539,649928
C,193556,649909
D,193563,649871
E,193580,649846
F,193596,649820
G,193617,649800
H,193622,649774
I,193635,649745
J,193655,649724
