ID,Easting,Northing
1,193536.6686,649928.807
2,193553.5876,649909.4243
3,193660.2601,650056.7204
4,193694.0097,650016.1018
5,193763.0203,650010.972
6,193754.4689,650007.6614
7,193751.1523,650004.1026
8,193767.1703,649899.2955
9,193767.1703,649899.2955
10,193767.1703,649899.2955
11,193773.0128,649889.7287
12,193792.986,649868.3443
13,193516.697,649950.1927
14,193561.2514,649871.9008
15,193606.7747,649814.0016
16,193608.8687,649813.9022
17,193477.9505,649708.6346
18,193475.3373,649719.9066
19,193448.1148,649721.1987
20,193475.2494,649718.0527
21,193466.5477,649777.9215
22,193501.8199,649835.7032
23,193488.5001,649687.696
24,193506.8017,649631.0877
25,193493.4627,649659.5906
26,193499.305,649650.0234
27,193476.3314,649807.185
28,193476.3314,649807.185
29,193471.1932,649831.5828
