Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Category,database
Aeshna juncea,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna juncea,concern,rspb south
Aglais urticae,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,concern,rspb south
Anacaena globulus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Anacaena,Anacaena globulus,concern,rspb south
Boloria selene,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria selene,concern,rspb south
Callophrys rubi,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,Callophrys rubi,concern,rspb south
Cantharis paludosa,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis paludosa,concern,rspb south
Carabus granulatus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus granulatus,concern,rspb south
Carabus violaceus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus violaceus,concern,rspb south
Cicindela campestris,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela campestris,concern,rspb south
Coenonympha pamphilus,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha pamphilus,concern,rspb south
Cordulegaster boltonii,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,concern,rspb south
Dicranomyia chorea,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia chorea,concern,rspb south
Dicranomyia distendens,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia distendens,concern,rspb south
Dicranomyia mitis,SPECIES_SENSU_LATO,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,,concern,rspb south
Enochrus affinis,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,Enochrus affinis,concern,rspb south
Enochrus fuscipennis,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,Enochrus fuscipennis,concern,rspb south
Erebia aethiops,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia aethiops,concern,rspb south
Gyrinus minutus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyrinus,Gyrinus minutus,concern,rspb south
Gyrinus substriatus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyrinus,Gyrinus substriatus,concern,rspb south
Hydrobius fuscipes/rottenbergii/subrotundus,SPECIES_AGGREGATE,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Hydrobius,,concern,rspb south
Hydroporus gyllenhalii,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,Hydroporus gyllenhalii,concern,rspb south
Hydroporus obscurus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,Hydroporus obscurus,concern,rspb south
Hydroporus tristis,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,Hydroporus tristis,concern,rspb south
Ilybius aenescens,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Ilybius,Ilybius aenescens,concern,rspb south
Ilybius fuliginosus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Ilybius,Ilybius fuliginosus,concern,rspb south
Ischnura elegans,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans,concern,rspb south
Lestes sponsa,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,Lestes sponsa,concern,rspb south
Libellula quadrimaculata,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,Libellula quadrimaculata,concern,rspb south
Maniola jurtina,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Maniola,Maniola jurtina,concern,rspb south
Molophilus occultus,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Molophilus,Molophilus occultus,concern,rspb south
Neobisium carcinoides,SPECIES,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Neobisiidae,Neobisium,Neobisium carcinoides,concern,rspb south
Oreodytes sanmarkii,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Oreodytes,Oreodytes sanmarkii,concern,rspb south
