LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive,,
Acanthis cabaret|NHMSYS0021004312|Lesser Redpoll|Animalia|Fringillidae,Acanthis cabaret,"(Müller, PLS, 1776)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis cabaret,,42,
Acronicta psi|NBNSYS0000006379|Grey Dagger|Animalia|Noctuidae,Acronicta psi,"(Linnaeus, 1758)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta psi,,2,
Acronicta rumicis|NBNSYS0000006384|Knot Grass|Animalia|Noctuidae,Acronicta rumicis,"(Linnaeus, 1758)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta rumicis,,1,
Alauda arvensis|NHMSYS0000530139|Skylark|Animalia|Alaudidae,Alauda arvensis,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis,,40,
Alcedo atthis|NHMSYS0000530141|Kingfisher|Animalia|Alcedinidae,Alcedo atthis,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,Alcedo atthis,,3,
Allophyes oxyacanthae|NBNSYS0000006338|Green-brindled Crescent|Animalia|Noctuidae,Allophyes oxyacanthae,"(Linnaeus, 1758)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Allophyes,Allophyes oxyacanthae,,1,
Alopecurus myosuroides|NHMSYS0000455779|Black-grass|Plantae|Poaceae,Alopecurus myosuroides,Huds.,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Alopecurus,Alopecurus myosuroides,,2,Global Register of Introduced and Invasive Species - Great Britain
Amphipoea oculea|NBNSYS0000006465|Ear Moth|Animalia|Noctuidae,Amphipoea oculea,"(Linnaeus, 1761)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipoea,Amphipoea oculea,,2,
Amphipyra tragopoginis|NBNSYS0000006395|Mouse Moth|Animalia|Noctuidae,Amphipyra tragopoginis,"(Clerck, 1759)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra,Amphipyra tragopoginis,,4,
Anguilla anguilla|NBNSYS0000188599|European Eel|Animalia|Anguillidae,Anguilla anguilla,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,,19,
Anguis fragilis|NBNSYS0000005072|Slow-worm|Animalia|Anguidae,Anguis fragilis,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,,18,
Anser albifrons|NHMSYS0000530149|White-fronted Goose|Animalia|Anatidae,Anser albifrons,"(Scopoli, 1769)",,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser albifrons,,1,Global Register of Introduced and Invasive Species - Great Britain
