LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
"Acanthis cabaret|NHMSYS0021004312|Lesser Redpoll|Animalia|Fringillidae","Acanthis cabaret","(Müller, PLS, 1776)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis cabaret",,"42",""
"Acronicta psi|NBNSYS0000006379|Grey Dagger|Animalia|Noctuidae","Acronicta psi","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta psi",,"2",""
"Acronicta rumicis|NBNSYS0000006384|Knot Grass|Animalia|Noctuidae","Acronicta rumicis","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta rumicis",,"1",""
"Allophyes oxyacanthae|NBNSYS0000006338|Green-brindled Crescent|Animalia|Noctuidae","Allophyes oxyacanthae","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Allophyes","Allophyes oxyacanthae",,"1",""
"Amphipoea oculea|NBNSYS0000006465|Ear Moth|Animalia|Noctuidae","Amphipoea oculea","(Linnaeus, 1761)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Amphipoea","Amphipoea oculea",,"2",""
"Amphipyra tragopoginis|NBNSYS0000006395|Mouse Moth|Animalia|Noctuidae","Amphipyra tragopoginis","(Clerck, 1759)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Amphipyra","Amphipyra tragopoginis",,"4",""
"Anguilla anguilla|NBNSYS0000188599|European Eel|Animalia|Anguillidae","Anguilla anguilla","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla",,"19",""
"Anguis fragilis|NBNSYS0000005072|Slow-worm|Animalia|Anguidae","Anguis fragilis","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Reptilia","Squamata","Anguidae","Anguis","Anguis fragilis",,"18",""
"Anthus trivialis|NHMSYS0000530162|Tree Pipit|Animalia|Motacillidae","Anthus trivialis","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus trivialis",,"26",""
"Apamea remissa|NHMSYS0021144661|Dusky Brocade|Animalia|Noctuidae","Apamea remissa","(Hübner, [1809])",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea remissa",,"4",""
"Aporophyla lueneburgensis|NBNSYS0000005281|Deep-brown Dart|Animalia|Noctuidae","Aporophyla lueneburgensis","(Freyer, 1848)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Aporophyla","Aporophyla lueneburgensis",,"2",""
"Arctia caja|NBNSYS0000006143|Garden Tiger|Animalia|Erebidae","Arctia caja","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctia","Arctia caja",,"5",""
