LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
"Abies procera|NBNSYS0000039455|Noble Fir|Plantae|Pinaceae","Abies procera","Rehder",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies procera",,"2","Global Register of Introduced and Invasive Species - Great Britain"
"Acer pseudoplatanus|NBNSYS0000003191|Sycamore|Plantae|Sapindaceae","Acer pseudoplatanus","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer pseudoplatanus",,"61","Global Register of Introduced and Invasive Species - Great Britain"
"Acericerus heydenii|NHMSYS0020973325||Animalia|Cicadellidae","Acericerus heydenii","(Kirschbaum, 1868)",,"SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Acericerus","Acericerus heydenii",,"1","Global Register of Introduced and Invasive Species - Great Britain"
"Aegopodium podagraria|NBNSYS0000003684|Ground-elder|Plantae|Apiaceae","Aegopodium podagraria","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Aegopodium","Aegopodium podagraria",,"15","Global Register of Introduced and Invasive Species - Great Britain"
"Aesculus hippocastanum|NBNSYS0000004580|Horse-chestnut|Plantae|Sapindaceae","Aesculus hippocastanum","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","Aesculus hippocastanum",,"2","Global Register of Introduced and Invasive Species - Great Britain"
"Alchemilla conjuncta|NBNSYS0000003370|Silver Lady's-mantle|Plantae|Rosaceae","Alchemilla conjuncta","Bab.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","Alchemilla conjuncta",,"2","Global Register of Introduced and Invasive Species - Great Britain"
"Alchemilla mollis|NBNSYS0000003383|Garden Lady's-mantle|Plantae|Rosaceae","Alchemilla mollis","(Buser) Rothm.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","Alchemilla mollis",,"7","Global Register of Introduced and Invasive Species - Great Britain|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Alectoris rufa|NHMSYS0000530143|Red-legged Partridge|Animalia|Phasianidae","Alectoris rufa","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Alectoris rufa",,"2","Global Register of Introduced and Invasive Species - Great Britain|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species"
"Alopecurus myosuroides|NHMSYS0000455779|Black-grass|Plantae|Poaceae","Alopecurus myosuroides","Huds.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Alopecurus","Alopecurus myosuroides",,"2","Global Register of Introduced and Invasive Species - Great Britain"
"Anser albifrons|NHMSYS0000530149|White-fronted Goose|Animalia|Anatidae","Anser albifrons","(Scopoli, 1769)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons",,"1","Global Register of Introduced and Invasive Species - Great Britain"
"Artemisia vulgaris|NBNSYS0000004469|Mugwort|Plantae|Asteraceae","Artemisia vulgaris","L.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia vulgaris",,"2","Global Register of Introduced and Invasive Species - Great Britain"
